DEPTH,RHOB,DT,GR,AI,AI_rel,PHIE
28.64,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
28.79,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
28.94,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
29.09,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
29.24,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
29.39,2048.8999,524.8954,-999.25,3903444.5,541397,0.3757
29.54,2048.8999,524.888,-999.25,3903499.5,155.729,0.3757
29.69,2048.9829,524.8806,-999.25,3903712.75,155.729,0.3757
29.84,2049,524.8731,-999.25,3903800.75,155.729,0.3756
29.99,2049,524.866,-999.25,3903854,155.729,0.3756
30.14,2049,524.8586,-999.25,3903908.75,155.729,0.3756
30.29,2049,524.8512,-999.25,3903963.75,155.729,0.3756
30.44,2049,524.8438,-999.25,3904019,155.729,0.3756
30.59,2049,524.8363,-999.25,3904074.25,155.729,0.3756
30.74,2049,524.8289,-999.25,3904129.5,155.729,0.3756
30.89,2049.0701,524.8215,-999.25,3904317.75,155.729,0.3756
31.04,2049.0999,524.8143,-999.25,3904428.5,155.729,0.3756
31.19,2049.0999,524.807,-999.25,3904482.75,155.729,0.3756
31.34,2049.0999,524.7995,-999.25,3904538.25,155.729,0.3756
31.49,2049.0999,524.7921,-999.25,3904593.5,155.729,0.3756
31.64,2049.0999,524.7847,-999.25,3904648.5,155.729,0.3755
31.79,2049.0999,524.7773,-999.25,3904703.5,155.729,0.3755
31.94,2049.0999,524.7698,-999.25,3904759.25,155.729,0.3755
32.09,2049.1572,524.7626,-999.25,3904922.5,155.729,0.3755
32.24,2049.2,524.7553,-999.25,3905058,155.729,0.3755
32.39,2049.2,524.7479,-999.25,3905113.5,172.1116,0.3755
32.54,2049.2,524.7404,-999.25,3905168.75,405.3166,0.3755
32.69,2049.2,524.733,-999.25,3905224,603.4905,0.3755
32.84,2049.2,524.7256,-999.25,3905279.25,603.4905,0.3755
32.99,2049.2,524.7182,-999.25,3905334.25,603.4905,0.3755
33.14,2049.2461,524.7108,-999.25,3905477.25,603.4905,0.3755
33.29,2049.3,524.7035,-999.25,3905634.5,603.4905,0.3755
33.44,2049.3,524.6962,-999.25,3905688.5,603.4905,0.3755
33.59,2049.3,524.6888,-999.25,3905743.5,603.4905,0.3754
33.74,2049.3,524.6814,-999.25,3905799,603.4905,0.3754
33.89,2049.3,524.674,-999.25,3905854.25,603.4905,0.3754
34.04,2049.3,524.6666,-999.25,3905909.75,603.4905,0.3754
34.19,2049.3,524.6592,-999.25,3905964.25,603.4905,0.3754
34.34,2049.3335,524.652,-999.25,3906081.25,603.4905,0.3754
34.49,2049.4001,524.6446,-999.25,3906263.75,603.4905,0.3754
34.64,2049.4001,524.6371,-999.25,3906319,603.4905,0.3754
34.79,2049.4001,524.6298,-999.25,3906374.25,603.4905,0.3754
34.94,2049.4001,524.6223,-999.25,3906429.75,603.4905,0.3754
35.09,2049.4001,524.6149,-999.25,3906485.5,603.4905,0.3754
35.24,2049.4001,524.6075,-999.25,3906540.25,603.4905,0.3754
35.39,2049.4224,524.6003,-999.25,3906635.5,603.4905,0.3754
35.54,2049.5,524.5929,-999.25,3906839,603.4905,0.3753
35.69,2049.5,524.5856,-999.25,3906894,603.4905,0.3753
35.84,2049.5,524.5781,-999.25,3906949.5,603.4905,0.3753
35.99,2049.5,524.5707,-999.25,3907004.75,603.4905,0.3753
36.14,2049.5,524.5632,-999.25,3907059.75,606.3883,0.3753
36.29,2049.5,524.5558,-999.25,3907115,670.1685,0.3753
36.44,2049.5,524.5484,-999.25,3907170.5,992.3477,0.3753
36.59,2049.5093,524.5413,-999.25,3907241.5,992.3477,0.3753
36.74,2049.5999,524.5338,-999.25,3907469.25,992.3477,0.3753
36.89,2049.5999,524.5264,-999.25,3907524.25,992.3477,0.3753
37.04,2049.5999,524.519,-999.25,3907580,992.3477,0.3753
37.19,2049.5999,524.5115,-999.25,3907635.5,992.3477,0.3753
37.34,2049.5999,524.5041,-999.25,3907690.75,992.3477,0.3752
37.49,2049.5999,524.4967,-999.25,3907746,992.3477,0.3752
37.64,2049.5999,524.4895,-999.25,3907799.25,992.3477,0.3752
37.79,2049.698,524.4821,-999.25,3908042.5,992.3477,0.3752
37.94,2049.7,524.4747,-999.25,3908100.75,992.3477,0.3752
38.09,2049.7,524.4672,-999.25,3908156.5,992.3477,0.3752
38.24,2049.7,524.4598,-999.25,3908211.75,992.3477,0.3752
38.39,2049.7,524.4524,-999.25,3908266.75,992.3477,0.3752
38.54,2049.7,524.4449,-999.25,3908322.5,992.3477,0.3752
38.69,2049.7,524.4379,-999.25,3908375.5,992.3477,0.3752
38.84,2049.7,524.4305,-999.25,3908430.25,992.3477,0.3752
38.99,2049.7852,524.423,-999.25,3908648.5,992.3477,0.3752
39.14,2049.7998,524.4156,-999.25,3908731.25,992.3477,0.3751
39.29,2049.7998,524.4082,-999.25,3908786.5,992.3477,0.3751
39.44,2049.7998,524.4007,-999.25,3908842.5,992.3477,0.3751
39.59,2049.7998,524.3933,-999.25,3908897.75,992.3477,0.3751
39.74,2049.7998,524.3862,-999.25,3908951,992.3477,0.3751
39.89,2049.7998,524.3788,-999.25,3909006,992.3477,0.3751
40.04,2049.7998,524.3714,-999.25,3909061,992.8661,0.3751
40.19,2049.8726,524.364,-999.25,3909255.5,1010.0695,0.3751
40.34,2049.9001,524.3565,-999.25,3909363.5,1016.5154,0.3751
40.49,2049.9001,524.3491,-999.25,3909418.5,1016.5154,0.3751
40.64,2049.9001,524.3417,-999.25,3909474,1016.5154,0.3751
40.79,2049.9001,524.3343,-999.25,3909529.25,1016.5154,0.3751
40.94,2049.9001,524.327,-999.25,3909583.25,1016.5154,0.375
41.09,2049.9001,524.3197,-999.25,3909638,1016.5154,0.375
41.24,2049.9614,524.3123,-999.25,3909810.25,1016.5154,0.375
41.39,2050,524.3049,-999.25,3909938.75,1016.5154,0.375
41.54,2050,524.2974,-999.25,3909994.25,1016.5154,0.375
41.69,2050,524.29,-999.25,3910049.75,1016.5154,0.375
41.84,2050,524.2828,-999.25,3910103.5,1016.5154,0.375
41.99,2050,524.2755,-999.25,3910158,1016.5154,0.375
42.14,2050,524.2681,-999.25,3910213,1016.5154,0.375
42.29,2050,524.2607,-999.25,3910268.5,1016.5154,0.375
42.44,2050.0486,524.2532,-999.25,3910416.75,1016.5154,0.375
42.59,2050.1001,524.2458,-999.25,3910570.75,1016.5154,0.375
42.74,2050.1001,524.2383,-999.25,3910626,1016.5154,0.375
42.89,2050.1001,524.231,-999.25,3910681,1016.5154,0.3749
43.04,2050.1001,524.2237,-999.25,3910735.25,1016.5154,0.3749
43.19,2050.1001,524.2164,-999.25,3910789.5,1016.5154,0.3749
43.34,2050.1001,524.209,-999.25,3910845,1016.5154,0.3749
43.49,2050.1375,524.2015,-999.25,3910971.5,1016.5154,0.3749
43.64,2050.2,524.1942,-999.25,3911145.75,1016.5154,0.3749
43.79,2050.2,524.1867,-999.25,3911201.75,1016.5154,0.3749
43.94,2050.2,524.1793,-999.25,3911257,963.9136,0.3749
44.09,2050.2,524.1719,-999.25,3911311.75,854.6332,0.3749
44.24,2050.2,524.1648,-999.25,3911365.25,854.2069,0.3749
44.39,2050.2,524.1574,-999.25,3911420.5,854.2069,0.3749
44.54,2050.2,524.15,-999.25,3911476.25,854.2069,0.3749
44.69,2050.2244,524.1425,-999.25,3911578.25,854.2069,0.3748
44.84,2050.2998,524.1351,-999.25,3911777.75,854.2069,0.3748
44.99,2050.2998,524.1276,-999.25,3911833,854.2069,0.3748
45.14,2050.2998,524.1204,-999.25,3911887.5,854.2069,0.3748
45.29,2050.2998,524.1132,-999.25,3911941.25,854.2069,0.3748
45.44,2050.2998,524.1057,-999.25,3911996.25,854.2069,0.3748
45.59,2050.2998,524.0983,-999.25,3912052,854.2069,0.3748
45.74,2050.3132,524.0908,-999.25,3912133.5,854.2069,0.3748
45.89,2050.3999,524.0834,-999.25,3912353.75,854.2069,0.3748
46.04,2050.3999,524.076,-999.25,3912409.25,854.2069,0.3748
46.19,2050.3999,524.0686,-999.25,3912464.5,854.2069,0.3748
46.34,2050.3999,524.0615,-999.25,3912518,854.2069,0.3748
46.49,2050.3999,524.054,-999.25,3912573.5,854.2069,0.3747
46.64,2050.3999,524.0466,-999.25,3912628.5,854.2069,0.3747
46.79,2050.3999,524.0392,-999.25,3912684,854.2069,0.3747
46.94,2050.4004,524.0317,-999.25,3912740.75,854.2069,0.3747
47.09,2050.5,524.0242,-999.25,3912987,854.2069,0.3747
47.24,2050.5,524.0168,-999.25,3913042.5,854.2069,0.3747
47.39,2050.5,524.0094,-999.25,3913097.75,854.2069,0.3747
47.54,2050.5,524.0023,-999.25,3913151.25,854.2069,0.3747
47.69,2050.5,523.9949,-999.25,3913206.25,854.2069,0.3747
47.84,2050.5,523.9874,-999.25,3913261.5,619.6757,0.3747
47.99,2050.5,523.98,-999.25,3913317.25,589.7489,0.3747
48.14,2050.5,523.9726,-999.25,3913372.5,588.652,0.3747
48.29,2050.5879,523.9651,-999.25,3913595.75,588.652,0.3746
48.44,2050.6001,523.958,-999.25,3913672.5,588.652,0.3746
48.59,2050.6001,523.9506,-999.25,3913727.75,588.652,0.3746
48.74,2050.6001,523.9432,-999.25,3913783.25,588.652,0.3746
48.89,2050.6001,523.9358,-999.25,3913838.75,588.652,0.3746
49.04,2050.6001,523.9283,-999.25,3913894.25,588.652,0.3746
49.19,2050.6001,523.9209,-999.25,3913950,588.652,0.3746
49.34,2050.6765,523.9135,-999.25,3914151.25,588.652,0.3746
49.49,2050.7,523.9063,-999.25,3914249.5,588.652,0.3746
49.64,2050.7,523.899,-999.25,3914304,588.652,0.3746
49.79,2050.7,523.8915,-999.25,3914359.75,588.652,0.3746
49.94,2050.7,523.8841,-999.25,3914415.5,588.652,0.3746
50.09,2050.7,523.8767,-999.25,3914470.75,588.652,0.3745
50.24,2050.7,523.8693,1.1225,3914526,588.652,0.3745
50.39,2050.7,523.8619,1.5188,3914581.5,588.652,0.3745
50.54,2050.7637,523.8544,3.2753,3914758.75,588.652,0.3745
50.69,2050.8,523.8472,4.1552,3914882,588.652,0.3745
50.84,2050.8,523.8399,4.5223,3914936.75,588.652,0.3745
50.99,2050.8,523.8325,5.2979,3914992.25,588.652,0.3745
51.14,2050.8,523.825,5.6715,3915047.75,588.652,0.3745
51.29,2050.8,523.8176,4.9955,3915103.25,588.652,0.3745
51.44,2050.8,523.8102,3.3093,3915158.5,588.652,0.3745
51.59,2050.8525,523.8029,1.0611,3915313,379.0243,0.3745
51.74,2050.8999,523.7957,-1.4807,3915457.75,167.9608,0.3745
51.89,2050.8999,523.7883,-2.8199,3915513.25,147.1036,0.3745
52.04,2050.8999,523.7808,-2.8199,3915568.75,147.1036,0.3745
52.19,2050.8999,523.7734,-2.1204,3915624,147.1036,0.3744
52.34,2050.8999,523.766,0.8572,3915679.75,147.1036,0.3744
52.49,2050.8999,523.7585,3.5487,3915735.5,147.1036,0.3744
52.64,2050.8999,523.7512,3.5487,3915790.75,147.1036,0.3744
52.79,2050.9397,523.7439,3.5487,3915921,147.1036,0.3744
52.94,2051,523.7366,3.5487,3916090.5,147.1036,0.3744
53.09,2051,523.7292,3.7703,3916146.25,147.1036,0.3744
53.24,2051,523.7217,3.7314,3916201.75,147.1036,0.3744
53.39,2051,523.7144,2.5378,3916257,147.1036,0.3744
53.54,2051,523.7069,1.9216,3916312.5,147.1036,0.3744
53.69,2051,523.6995,2.6098,3916368,147.1036,0.3744
53.84,2051.0286,523.6921,3.8511,3916477.5,147.1036,0.3744
53.99,2051.1001,523.6849,5.5317,3916668,147.1036,0.3743
54.14,2051.1001,523.6776,5.8212,3916723.25,147.1036,0.3743
54.29,2051.1001,523.6702,3.5688,3916779,147.1036,0.3743
54.44,2051.1001,523.6627,-1.9449,3916834.5,147.1036,0.3743
54.59,2051.1001,523.6553,-1.1871,3916890,147.1036,0.3743
54.74,2051.1001,523.6479,-1.2499,3916945.25,147.1036,0.3743
